feature,importance
spo2_min_12h,0.05589502
hr_count_12h,0.055388987
rr_count_12h,0.03772163
spo2_max_12h,0.03708062
rr_mean_12h,0.036791105
rr_min_12h,0.036080517
sbp_max_12h,0.034216266
sbp_count_12h,0.034186102
hr_max_12h,0.034101408
spo2_mean_12h,0.033233594
hr_min_12h,0.03247397
spo2_count_12h,0.032393064
dbp_max_12h,0.032295268
dbp_min_12h,0.032238644
dbp_mean_12h,0.031643085
rr_max_12h,0.031450957
spo2_std_12h,0.0314333
dbp_count_12h,0.030942852
dbp_std_12h,0.030858386
sbp_min_12h,0.030841898
hr_mean_12h,0.030731142
spo2_last,0.030105224
hr_last,0.030039858
hr_std_12h,0.03001205
sbp_mean_12h,0.029908324
sbp_std_12h,0.029714793
rr_std_12h,0.02879239
rr_last,0.028588409
dbp_last,0.025554333
sbp_last,0.02528671
